Phase,Tuning Option,Current Setting,Summary
Consensus,METHOD_WEIGHT — pdf,0.82 (hardcoded in consensusEngine.js),[Hardcoded — no control] Consensus weight for PDF-extracted values. PDFs are authoritative but extraction can miss nuances in layout.
Consensus,METHOD_WEIGHT — table_kv,0.78 (hardcoded in consensusEngine.js),[Hardcoded — no control] Consensus weight for key-value pairs extracted from spec tables. Very reliable for structured spec pages.
Consensus,METHOD_WEIGHT — dom,0.4 (hardcoded in consensusEngine.js),[Hardcoded — no control] Consensus weight for raw DOM extraction. Lower reliability due to unstructured page content and potential noise.
Consensus,METHOD_WEIGHT — llm_extract,0.2 (hardcoded in consensusEngine.js),[Hardcoded — no control] Consensus weight for LLM-extracted values. Lowest method weight because LLM extraction can hallucinate. The LLM tier weights (above) further modify this base weight by source tier.
Consensus,POLICY_BONUS,0.3 (hardcoded in consensusEngine.js),[Hardcoded — no control] Tiebreaker bonus in consensus scoring for the value that matches the selection policy. When two values have similar scores the policy-preferred one gets +0.3.
Consensus,Weighted Majority Threshold,1.1× (hardcoded in consensusEngine.js),[Hardcoded — no control] The winning value must score at least 1.1× the second-best value to be accepted as majority. Prevents accepting values with razor-thin margins.
Consensus,Strict Acceptance Domain Count,3 (hardcoded in consensusEngine.js),[Hardcoded — no control] Minimum number of unique approved domains that must agree on a value for strict acceptance. Prevents accepting values confirmed by only 1-2 sources.
Consensus,Relaxed Acceptance Domain Count,2 (hardcoded in consensusEngine.js),[Hardcoded — no control] Domain count threshold for relaxed acceptance (when allowBelowPassTargetFill is enabled). Allows accepting values with fewer confirming domains.
Consensus,Instrumented Field Threshold,3 (hardcoded in consensusEngine.js),[Hardcoded — no control] Minimum instrumented extraction count for acceptance of instrumented fields. Requires 3 or more instrumented extractions to confirm.
Consensus,Confidence Scoring Base,0.7 when domains >= 3 (hardcoded in consensusEngine.js),"[Hardcoded — no control] Base confidence score formula: 0.7 if 3+ domains agree, otherwise domain_count/4. Additional bonuses: +0.2 for Tier 1 match, +0.1 for multiple sources, +0.1 for no conflicts. Max confidence is ~1.0."
Consensus,Pass Target — Identity/Strong Fields,5 (hardcoded in consensusEngine.js),[Hardcoded — no control] Pass target for commonly-wrong fields (fields known to frequently have wrong values). These fields need 5 confirming domains to pass quality gate.
Consensus,Pass Target — Normal Fields,3 (hardcoded in consensusEngine.js),[Hardcoded — no control] Default pass target for normal fields. 3 confirming domains needed. Fields in PASS_EXEMPT list have target 0.
Consensus,ALLOW_BELOW_PASS_TARGET_FILL,false (env: ALLOW_BELOW_PASS_TARGET_FILL),[Backend only — no GUI control] When true allows accepting values that haven't met the pass target domain count. Relaxes consensus requirements — useful for rare products with few sources.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# IDENTITY GATE,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Identity Gate,IDENTITY_GATE_PUBLISH_THRESHOLD,0.70 (env: IDENTITY_GATE_PUBLISH_THRESHOLD),[Backend only — no GUI control] Minimum identity confidence required to publish/accept extracted spec values. Below 0.70 identity confidence no values are published — the system isn't confident enough that it has the right product.
Identity Gate,Base Match Threshold,0.80 (hardcoded in identityGate.js),[Hardcoded — no control] Base identity match threshold before ambiguity adjustments. A source must match product identity tokens at >= 80% to pass the identity gate. Adjusted up/down by ambiguity level.
Identity Gate,Easy Ambiguity Reduction,-0.15 (hardcoded in identityGate.js),[Hardcoded — no control] Threshold reduction for easy ambiguity (1 sibling product). Lowers match requirement to 0.65 because there's little confusion risk with few similar products.
Identity Gate,Medium Ambiguity Reduction,-0.10 (hardcoded in identityGate.js),[Hardcoded — no control] Threshold reduction for medium ambiguity (2-3 siblings). Lowers to 0.70.
Identity Gate,Hard Ambiguity Reduction,-0.02 (hardcoded in identityGate.js),[Hardcoded — no control] Threshold reduction for hard ambiguity (4-5 siblings). Nearly no reduction — 0.78 threshold. Many similar products require strict matching.
Identity Gate,Very Hard Ambiguity Increase,+0.01 (hardcoded in identityGate.js),[Hardcoded — no control] Threshold increase for very hard ambiguity (6-8 siblings). Raises to 0.81. More siblings = stricter matching needed.
Identity Gate,Extra Hard Ambiguity Increase,+0.03 (hardcoded in identityGate.js),[Hardcoded — no control] Threshold increase for extra hard ambiguity (9+ siblings). Raises to 0.83. Maximum strictness for product families with many variants.
Identity Gate,Missing Strong ID Penalty,-0.05 (hardcoded in identityGate.js),[Hardcoded — no control] Threshold reduction when strong identity signals are missing. Loosens the gate slightly when the product lacks distinctive identifiers.
Identity Gate,Hard + Missing ID Increase,+0.03 (hardcoded in identityGate.js),[Hardcoded — no control] Additional threshold increase when hard ambiguity AND missing strong ID combine. Counter-intuitively tightens the gate because ambiguous products without strong IDs are the riskiest.
Identity Gate,Very Hard + Missing ID Increase,+0.05 (hardcoded in identityGate.js),[Hardcoded — no control] Additional threshold increase for very hard ambiguity with missing strong ID.
Identity Gate,Extra Hard + Missing ID Increase,+0.08 (hardcoded in identityGate.js),[Hardcoded — no control] Additional threshold increase for extra hard ambiguity with missing strong ID. Maximum penalty scenario.
Identity Gate,Threshold Bounds,"[0.62, 0.92] (hardcoded in identityGate.js)",[Hardcoded — no control] Hard floor and ceiling for the identity match threshold after all adjustments. No matter what the ambiguity the threshold never goes below 0.62 or above 0.92.
Identity Gate,Numeric Token Boost,0.10 (hardcoded in identityGate.js),[Hardcoded — no control] Small bonus applied to identity match score when numeric model tokens are matched. Helps identify products like 'AW610M' where the numeric portion is distinctive.
Identity Gate,Numeric Range Threshold,3 (hardcoded in identityGate.js),[Hardcoded — no control] Maximum allowed spread between numeric tokens in identity matching. If the range between numbers exceeds 3 the match is flagged as potentially wrong (e.g. model 600 vs model 610).
Identity Gate,Quality Gate Identity Threshold,0.70 (hardcoded in qualityGate.js),[Hardcoded — no control] Identity confidence threshold used in the quality gate. Matches IDENTITY_GATE_PUBLISH_THRESHOLD. Evidence below this confidence is flagged in quality reports.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PARSING — Static DOM (01),,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Parsing 01,STATIC_DOM_EXTRACTOR_ENABLED,true (env: STATIC_DOM_EXTRACTOR_ENABLED),[Backend only — no GUI control] Master switch for the static DOM extractor. When enabled Cheerio/regex parses HTML for spec data without running JavaScript. Fast but misses dynamically-loaded content.
Parsing 01,STATIC_DOM_MODE,cheerio (env: STATIC_DOM_MODE),[Backend only — no GUI control] DOM parser mode. 'cheerio' uses the Cheerio library for fast jQuery-like parsing. 'regex_fallback' uses regular expressions when Cheerio fails to parse malformed HTML.
Parsing 01,STATIC_DOM_TARGET_MATCH_THRESHOLD,0.55 (env: STATIC_DOM_TARGET_MATCH_THRESHOLD),[Backend only — no GUI control] Threshold (0-1) for fuzzy matching field names in DOM elements. At 0.55 a DOM label must be 55% similar to a known field name to be considered a match. Lower values catch more variations but risk false positives.
Parsing 01,STATIC_DOM_MAX_EVIDENCE_SNIPPETS,120 (env: STATIC_DOM_MAX_EVIDENCE_SNIPPETS),[Backend only — no GUI control] Maximum evidence snippets extracted from static DOM per page. Range 10-500. Controls how many pieces of evidence are harvested from each page's HTML structure.
Parsing 01,DOM_SNIPPET_MAX_CHARS,3600 (env: DOM_SNIPPET_MAX_CHARS),[Backend only — no GUI control] Maximum characters per DOM evidence snippet. Truncates long snippets to prevent oversized evidence entries.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PARSING — Dynamic JS-Rendered (02),,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Parsing 02,DYNAMIC_CRAWLEE_ENABLED,true (env + GUI: toggle),[GUI: Indexing Runtime → Crawlee Enabled toggle] Same as Phase 05 DYNAMIC_CRAWLEE_ENABLED. Controls Playwright-based dynamic rendering for JS-heavy pages.
Parsing 02,DYNAMIC_FETCH_RETRY_BUDGET,2 (env + GUI: number input),[GUI: Indexing Runtime → Retry Budget input] Same as Phase 05. Retry budget for dynamic page fetches.
Parsing 02,DYNAMIC_FETCH_RETRY_BACKOFF_MS,1200 (env + GUI: number input),[GUI: Indexing Runtime → Retry Backoff input] Same as Phase 05. Backoff between retries.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PARSING — Article Extraction (03),,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Parsing 03,ARTICLE_EXTRACTOR_V2,true (env: ARTICLE_EXTRACTOR_V2),[Backend only — no GUI control] Enable V2 article extractor using Mozilla Readability + JSDOM. V2 is more accurate than V1 at isolating article content from page chrome.
Parsing 03,ARTICLE_EXTRACTOR_MIN_CHARS,700 (env: ARTICLE_EXTRACTOR_MIN_CHARS),[Backend only — no GUI control] Minimum character count for extracted article content. Articles shorter than 700 chars are rejected as too short to contain useful spec data.
Parsing 03,ARTICLE_EXTRACTOR_MIN_SCORE,45 (env: ARTICLE_EXTRACTOR_MIN_SCORE),[Backend only — no GUI control] Minimum quality score (0-100) for article extraction. The extractor scores articles by readability metrics. Below 45 the content is rejected as too noisy.
Parsing 03,ARTICLE_EXTRACTOR_MAX_CHARS,24000 (env: ARTICLE_EXTRACTOR_MAX_CHARS),[Backend only — no GUI control] Maximum characters to retain from article extraction. Truncates very long articles to keep evidence manageable. 24K chars is ~6 pages of text.
Parsing 03,ARTICLE_EXTRACTOR_DOMAIN_POLICY_MAP_JSON,{} (env: ARTICLE_EXTRACTOR_DOMAIN_POLICY_MAP_JSON),[Backend only — no GUI control] Per-domain article extraction policy overrides as JSON. Allows customizing min score/chars per domain for sites with unusual layouts.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PARSING — HTML Spec Table (04),,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Parsing 04,HTML_TABLE_EXTRACTOR_V2,true (env: HTML_TABLE_EXTRACTOR_V2),[Backend only — no GUI control] Enable V2 HTML table parser with merged-cell support. V2 correctly handles colspan/rowspan in spec tables that V1 misparses.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PARSING — Structured Metadata (05),,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Parsing 05,STRUCTURED_METADATA_EXTRUCT_ENABLED,false (env: STRUCTURED_METADATA_EXTRUCT_ENABLED),"[Backend only — no GUI control] Enable structured metadata extraction via the extruct FastAPI sidecar service. When enabled the sidecar extracts JSON-LD, OpenGraph, microdata, and other structured formats. Requires the sidecar to be running."
Parsing 05,STRUCTURED_METADATA_EXTRUCT_URL,http://127.0.0.1:8011/extract/structured (env),[Backend only — no GUI control] URL of the extruct sidecar service. The sidecar is a Python FastAPI server that runs extruct for structured metadata extraction.
Parsing 05,STRUCTURED_METADATA_EXTRUCT_TIMEOUT_MS,2000 (env: STRUCTURED_METADATA_EXTRUCT_TIMEOUT_MS),[Backend only — no GUI control] Timeout for sidecar calls in milliseconds. Range 250-15000ms. 2 seconds is usually sufficient for fast extraction.
Parsing 05,STRUCTURED_METADATA_EXTRUCT_MAX_ITEMS_PER_SURFACE,200 (env),"[Backend only — no GUI control] Maximum structured metadata items per extraction surface (JSON-LD, microdata, etc.). Range 1-1000. Prevents memory bloat from pages with thousands of structured items."
Parsing 05,STRUCTURED_METADATA_EXTRUCT_CACHE_ENABLED,true (env),[Backend only — no GUI control] Enable caching for structured metadata extraction results. Avoids re-parsing the same page content on subsequent runs.
Parsing 05,STRUCTURED_METADATA_EXTRUCT_CACHE_LIMIT,400 (env),[Backend only — no GUI control] Maximum entries in the structured metadata cache. Range 32-5000. Older entries are evicted when the limit is reached.
Parsing 05,Confidence Bases — network_json,0.96 (hardcoded),[Hardcoded — no control] Base confidence for values extracted from intercepted network JSON responses. Highest confidence because network JSON is structured API data directly from the site.
Parsing 05,Confidence Bases — embedded_state,0.93 (hardcoded),[Hardcoded — no control] Base confidence for values from embedded state (window.__INITIAL_STATE__ etc.). Very high confidence as it's pre-rendered app state.
Parsing 05,Confidence Bases — json_ld,0.90 (hardcoded),[Hardcoded — no control] Base confidence for JSON-LD structured data. High confidence because JSON-LD follows standardized schemas.
Parsing 05,Confidence Bases — microdata,0.88 (hardcoded),[Hardcoded — no control] Base confidence for HTML Microdata. Slightly lower than JSON-LD because microdata is embedded in HTML attributes which are more error-prone.
Parsing 05,Confidence Bases — opengraph,0.80 (hardcoded),[Hardcoded — no control] Base confidence for OpenGraph metadata. Moderate confidence — OG tags are marketing-oriented and may contain simplified/inaccurate specs.
Parsing 05,Confidence Bases — microformat_rdfa,0.78 (hardcoded),[Hardcoded — no control] Base confidence for Microformats and RDFa. Lowest structured metadata confidence as these formats are less commonly used for technical specs.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PARSING — PDF (06),,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Parsing 06,PDF_BACKEND_ROUTER_ENABLED,false (env: PDF_BACKEND_ROUTER_ENABLED),"[Backend only — no GUI control] Enable the multi-backend PDF parser. When enabled the router tries multiple PDF extraction backends (pdfplumber, pymupdf, camelot, tabula) and picks the best result. When disabled only the legacy pdf-parse library is used."
Parsing 06,PDF_PREFERRED_BACKEND,auto (env: PDF_PREFERRED_BACKEND),[Backend only — no GUI control] Preferred PDF backend when router is enabled. 'auto' tries all backends and picks the best result. Can be set to a specific backend to force its use.
Parsing 06,PDF_BACKEND_ROUTER_TIMEOUT_MS,120000 (env: PDF_BACKEND_ROUTER_TIMEOUT_MS),[Backend only — no GUI control] Timeout for PDF backend operations in milliseconds. Range 10000-300000 (10s-5min). 2 minutes allows for large PDFs with complex layouts.
Parsing 06,PDF_BACKEND_ROUTER_MAX_PAGES,60 (env: PDF_BACKEND_ROUTER_MAX_PAGES),[Backend only — no GUI control] Maximum PDF pages to process. Range 1-300. Most spec PDFs are under 60 pages. Prevents processing entire 300-page product manuals.
Parsing 06,PDF_BACKEND_ROUTER_MAX_PAIRS,5000 (env: PDF_BACKEND_ROUTER_MAX_PAIRS),[Backend only — no GUI control] Maximum field-value pairs to extract from PDF. Range 100-20000. Limits the data volume from very large spec PDFs.
Parsing 06,PDF_BACKEND_ROUTER_MAX_TEXT_PREVIEW_CHARS,20000 (env: PDF_BACKEND_ROUTER_MAX_TEXT_PREVIEW_CHARS),[Backend only — no GUI control] Maximum characters in the PDF text preview. Range 1000-100000. The preview is used for quick content assessment before full extraction.
Parsing 06,MAX_PDF_BYTES,8000000 (env: MAX_PDF_BYTES),[Backend only — no GUI control] Maximum PDF file size in bytes (~8MB). PDFs larger than this are skipped entirely. Prevents downloading huge files that would take too long to process.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PARSING — Scanned PDF OCR (07),,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Parsing 07,SCANNED_PDF_OCR_ENABLED,true (env + GUI: Indexing → OCR Enabled toggle),[GUI: Indexing Runtime → Scanned PDF OCR Enabled toggle] Master switch for OCR processing of scanned PDFs. When enabled PDFs detected as scanned images are processed through OCR (Tesseract) to extract text.
Parsing 07,SCANNED_PDF_OCR_PROMOTE_CANDIDATES,true (env + GUI: Indexing → Promote OCR toggle),[GUI: Indexing Runtime → Promote OCR Candidates toggle] When enabled OCR-derived values are promoted to extraction candidates alongside deterministic parsing results. When disabled OCR text is available but not auto-promoted.
Parsing 07,SCANNED_PDF_OCR_BACKEND,auto (env + GUI: Indexing → OCR Backend dropdown: auto/tesseract/none),[GUI: Indexing Runtime → OCR Backend dropdown] OCR engine selection. 'auto' tries available backends. 'tesseract' forces Tesseract OCR. 'none' disables OCR processing.
Parsing 07,SCANNED_PDF_OCR_MAX_PAGES,4 (env + GUI: Indexing → OCR Max Pages input),"[GUI: Indexing Runtime → OCR Max Pages input (min 1, max 100)] Maximum pages to OCR from a scanned PDF. Default 4 processes just the first few pages where spec tables usually appear."
Parsing 07,SCANNED_PDF_OCR_MAX_PAIRS,800 (env + GUI: Indexing → OCR Max Pairs input),"[GUI: Indexing Runtime → OCR Max Pairs input (min 50, max 20000)] Maximum key-value pairs to extract from OCR text. Controls extraction volume from OCR results."
Parsing 07,SCANNED_PDF_OCR_MIN_CHARS_PER_PAGE,30 (env + GUI: Indexing → Min Chars/Page input),"[GUI: Indexing Runtime → Min Chars/Page input (min 1, max 500)] Minimum OCR characters per page to accept the page as valid. Pages with fewer than 30 recognized characters are rejected as blank or failed OCR."
Parsing 07,SCANNED_PDF_OCR_MIN_LINES_PER_PAGE,2 (env + GUI: Indexing → Min Lines/Page input),"[GUI: Indexing Runtime → Min Lines/Page input (min 1, max 100)] Minimum OCR lines per page to accept. Pages with fewer than 2 recognized lines are rejected."
Parsing 07,SCANNED_PDF_OCR_MIN_CONFIDENCE,0.50 (env + GUI: Indexing → Min Confidence input),"[GUI: Indexing Runtime → Min Confidence input (min 0, max 1, step 0.01)] Minimum OCR confidence threshold. Characters/words recognized with below 50% confidence are rejected. Higher values are stricter but may miss valid text from low-quality scans."
# ═══════════════════════════════════════════════════════════════════════════════,,,
# PARSING — Chart/Graph Extraction (09),,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Parsing 09,CHART_EXTRACTION_ENABLED,true (planned; partially implemented),[Backend only — no GUI control] Master switch for chart and graph extraction from page content. Currently only network payload interception is implemented. Full SVG parser and chart detector are pending.
Parsing 09,CHART_VISION_FALLBACK_ENABLED,false (planned),[NOT IMPLEMENTED] Planned switch to enable vision LLM fallback for raster charts that can't be parsed structurally. Would send chart images to a vision model for numeric extraction.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# EVIDENCE PACK,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Evidence,Evidence Text Max Chars,5000 (hardcoded in evidencePackV2.js),[Hardcoded — no control] Maximum characters for evidence text conversion. Truncates evidence values longer than 5000 chars when converting to text format for LLM consumption.
Evidence,Evidence Headings Limit,120 (hardcoded in evidencePackV2.js),[Hardcoded — no control] Maximum heading elements retained from evidence source. Limits how many document headings are included in the evidence pack.
Evidence,Evidence Chunk Max Length,3000 (hardcoded in evidencePackV2.js),[Hardcoded — no control] Maximum length of individual evidence chunks. Long evidence is broken into chunks of up to 3000 chars.
Evidence,Evidence Spec Sections Limit,8 (hardcoded in evidencePackV2.js),[Hardcoded — no control] Maximum spec table sections retained per evidence source. Limits how many distinct spec tables are included from a single page.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# LLM BUDGET & COST CONTROLS,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
LLM Budget,LLM_ENABLED,false (env: LLM_ENABLED),"[Backend only — no GUI control] Master switch for all LLM functionality. When false no LLM calls are made — only deterministic extraction. Must be enabled for LLM-based extraction, triage, and planning."
LLM Budget,LLM_MONTHLY_BUDGET_USD,200 (env: LLM_MONTHLY_BUDGET_USD),[Backend only — no GUI control] Monthly spending cap for LLM API calls in USD. When cumulative monthly spend reaches $200 all LLM calls are blocked. Prevents runaway costs.
LLM Budget,LLM_PER_PRODUCT_BUDGET_USD,0.10 (env: LLM_PER_PRODUCT_BUDGET_USD),[Backend only — no GUI control] Per-product spending cap in USD. After $0.10 spent on a single product no more LLM calls are made for it. Prevents a single difficult product from consuming the entire budget.
LLM Budget,LLM_DISABLE_BUDGET_GUARDS,false (env: LLM_DISABLE_BUDGET_GUARDS),[Backend only — no GUI control] Disable all budget enforcement. When true there are no spending limits. Use with caution in production.
LLM Budget,LLM_MAX_BATCHES_PER_PRODUCT,7 (env: LLM_MAX_BATCHES_PER_PRODUCT),[Backend only — no GUI control] Maximum extraction batches per product. Each batch is a group of fields sent to the LLM together. More batches = more comprehensive extraction but higher cost.
LLM Budget,LLM_MAX_CALLS_PER_PRODUCT_TOTAL,10 (env: LLM_MAX_CALLS_PER_PRODUCT_TOTAL),"[Backend only — no GUI control] Hard cap on total LLM API calls per product across all roles (extract, validate, write, triage). Absolute backstop against runaway calls."
LLM Budget,LLM_MAX_CALLS_PER_PRODUCT_FAST,2 (env: LLM_MAX_CALLS_PER_PRODUCT_FAST),[Backend only — no GUI control] Maximum fast-pass LLM calls per product. Limits the number of cheap/quick LLM calls for triage and classification.
LLM Budget,LLM_MAX_CALLS_PER_ROUND,4 (env: LLM_MAX_CALLS_PER_ROUND),[Backend only — no GUI control] Maximum LLM calls per convergence round. Distributes the call budget across rounds rather than spending it all in round 1.
LLM Budget,LLM_MAX_EVIDENCE_CHARS,60000 (env: LLM_MAX_EVIDENCE_CHARS),[Backend only — no GUI control] Maximum total characters of evidence sent to the LLM per extraction call. Limits context window usage. 60K chars is roughly 15-20K tokens.
LLM Budget,LLM_MAX_TOKENS,16384 (env: LLM_MAX_TOKENS),[Backend only — no GUI control] General max tokens for LLM calls. Acts as a safety cap across all roles.
LLM Budget,LLM_MAX_OUTPUT_TOKENS,1200 (env: LLM_MAX_OUTPUT_TOKENS),[Backend only — no GUI control] General max output tokens. Default for any role that doesn't have its own specific setting.
LLM Budget,LLM_TIMEOUT_MS,40000 (env: LLM_TIMEOUT_MS),[Backend only — no GUI control] LLM API request timeout in milliseconds. 40 seconds allows for slow model responses. Increase for reasoning models; decrease for fast models.
LLM Budget,LLM_EXTRACTION_CACHE_ENABLED,true (env: LLM_EXTRACTION_CACHE_ENABLED),[Backend only — no GUI control] Enable disk caching for LLM extraction results. Avoids re-extracting the same evidence on re-runs. Saves significant cost during development and re-runs.
LLM Budget,LLM_EXTRACTION_CACHE_TTL_MS,604800000 / 7 days (env: LLM_EXTRACTION_CACHE_TTL_MS),[Backend only — no GUI control] Time-to-live for cached LLM extraction results in milliseconds. Cached results older than 7 days are discarded. Balances freshness with cost savings.
LLM Budget,LLM_EXTRACTION_CACHE_DIR,.specfactory_tmp/llm_cache (env),[Backend only — no GUI control] Directory for LLM extraction cache files. Each cached response is a JSON file keyed by content hash.
LLM Budget,LLM_COST_INPUT_PER_1M,1.25 (env: LLM_COST_INPUT_PER_1M),[Backend only — no GUI control] Default cost per 1 million input tokens in USD. Used for budget tracking when model-specific pricing isn't available.
LLM Budget,LLM_COST_OUTPUT_PER_1M,10 (env: LLM_COST_OUTPUT_PER_1M),[Backend only — no GUI control] Default cost per 1 million output tokens in USD. Output tokens are typically 8× more expensive than input.
LLM Budget,LLM_COST_CACHED_INPUT_PER_1M,0.125 (env: LLM_COST_CACHED_INPUT_PER_1M),[Backend only — no GUI control] Default cost per 1M cached input tokens. Cached inputs are 10× cheaper than fresh inputs for supported providers.
LLM Budget,LLM_VERIFY_MODE,false (env: LLM_VERIFY_MODE),[Backend only — no GUI control] Enable verification mode where the LLM double-checks extracted values. Increases accuracy but doubles LLM costs.
LLM Budget,LLM_VERIFY_SAMPLE_RATE,10 (env: LLM_VERIFY_SAMPLE_RATE),[Backend only — no GUI control] Percentage of extractions to verify when verify mode is enabled. 10% means 1 in 10 extractions get a verification pass. Lower values save costs.
LLM Budget,LLM_WRITE_SUMMARY,false (env: LLM_WRITE_SUMMARY),[Backend only — no GUI control] Use LLM to generate a human-readable product summary after extraction. Additional cost per product for a written paragraph summarizing key specs.
# ═══════════════════════════════════════════════════════════════════════════════,,,
# LLM SETTINGS PAGE — Per-Route Controls,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
LLM Routes,Required Level (per route),(GUI: LLM Settings → Route dropdown),[GUI: LLM Settings → Per-Route → Required Level dropdown] Sets the required level for each field route: identity / required / critical / expected / optional / editorial / commerce. Controls how aggressively the pipeline pursues evidence for this field.
LLM Routes,Availability (per route),(GUI: LLM Settings → Route dropdown),[GUI: LLM Settings → Per-Route → Availability dropdown] Expected availability of this field: always / expected / sometimes / rare / editorial_only. Informs the convergence loop whether to keep searching or give up.
LLM Routes,Difficulty (per route),(GUI: LLM Settings → Route dropdown),[GUI: LLM Settings → Per-Route → Difficulty dropdown] Extraction difficulty: easy / medium / hard / instrumented. Hard fields get more LLM budget and reasoning model escalation.
LLM Routes,Effort (per route),(GUI: LLM Settings → Effort slider 1-10),"[GUI: LLM Settings → Per-Route → Effort slider] Effort level 1-10 controlling how much resource budget is allocated to extracting this field. Higher effort = more search queries, more evidence gathering, more LLM calls."
LLM Routes,Model Ladder,(GUI: LLM Settings → text input),[GUI: LLM Settings → Per-Route → Model Ladder input] Text input specifying the model escalation ladder for this route. Defines which models are tried in order (fast → balanced → deep) for this field.
LLM Routes,Max Tokens (per route),(GUI: LLM Settings → slider 1024-32768),[GUI: LLM Settings → Per-Route → Max Tokens slider] Maximum output tokens for LLM calls on this specific field route. Allows per-field token budgets.
LLM Routes,Min Evidence Refs (per route),(GUI: LLM Settings → slider 1-5),[GUI: LLM Settings → Per-Route → Min Evidence Refs slider] Minimum evidence references required before accepting this field's value. Higher values require more corroborating sources.
LLM Routes,Insufficient Evidence Action,(GUI: LLM Settings → dropdown),[GUI: LLM Settings → Per-Route → Insufficient Evidence Action dropdown] What to do when min evidence refs aren't met: threshold_unmet (mark as unmet) / return_unk (return unknown) / escalate (try harder with deeper model).
LLM Routes,Context Pack,(GUI: LLM Settings → dropdown),[GUI: LLM Settings → Per-Route → Context Pack dropdown] How much context to send to the LLM: standard / minimal / full. Controls the evidence context window size for this route.
LLM Routes,single_source_data,(GUI: LLM Settings → toggle),[GUI: LLM Settings → Per-Route → Source Package → Single Source toggle] Send data from a single best source to the LLM. When true only the top-ranked source is sent.
LLM Routes,all_source_data,(GUI: LLM Settings → toggle),[GUI: LLM Settings → Per-Route → Source Package → All Sources toggle] Send data from all available sources to the LLM. When true all evidence is sent for cross-reference.
LLM Routes,enable_websearch,(GUI: LLM Settings → toggle),[GUI: LLM Settings → Per-Route → Source Package → Web Search toggle] Enable web search for this specific route. Can be disabled per-field to save search budget.
LLM Routes,all_sources_confidence_repatch,(GUI: LLM Settings → toggle),[GUI: LLM Settings → Per-Route → Source Package → Confidence Repatch toggle] Re-calculate confidence after seeing all sources. Useful when initial extraction was from a single source.
LLM Routes,Scalar/Component/List Send Mode,(GUI: LLM Settings → dropdowns),"[GUI: LLM Settings → Per-Route → Send Mode dropdowns] Controls what data is sent alongside the field value in extraction: value only vs value + prime sources. Separate dropdowns for scalar fields, component fields, and list fields."
LLM Routes,14 Advanced Prompt Flags,(GUI: LLM Settings → 14 toggle checkboxes),"[GUI: LLM Settings → Per-Route → Advanced Prompt Flags] 14 boolean flags controlling which studio metadata is included in the extraction prompt: key navigation, contract rules, extraction guidance, tooltips, enum options, component constraints, parse templates, AI mode difficulty, required level, entity sets, evidence policy, variance policy, constraints, boolean prompts. Each flag adds/removes a section from the LLM prompt."
# ═══════════════════════════════════════════════════════════════════════════════,,,
# DISCOVERY & CRAWLING,,,
# ═══════════════════════════════════════════════════════════════════════════════,,,
Discovery,DISCOVERY_ENABLED,false (env + GUI: Indexing → Provider Discovery toggle),[GUI: Indexing Runtime → Provider Discovery toggle] Master switch for web search discovery. When enabled the pipeline searches the web for new source URLs. When disabled only pre-existing seed URLs are used.
Discovery,RUN_PROFILE,standard (env + GUI: Indexing → Run Profile dropdown: fast/standard/thorough),[GUI: Indexing Runtime → Run Profile dropdown] Run profile controlling overall aggressiveness. 'fast' reduces queries/URLs/concurrency for quick runs. 'thorough' increases everything for comprehensive extraction. 'standard' is balanced.
Discovery,DISCOVERY_MAX_QUERIES,6 (env: DISCOVERY_MAX_QUERIES),"[Backend only — no GUI control] Maximum search queries per discovery pass. Adjusted by run profile: thorough=24, standard=6, fast=4. Controls the search budget per pass."
Discovery,DISCOVERY_RESULTS_PER_QUERY,10 (env: DISCOVERY_RESULTS_PER_QUERY),"[Backend only — no GUI control] Results per search query. Adjusted by run profile: thorough=20, standard=10, fast=6. Controls how many SERP results are considered per query."
Discovery,DISCOVERY_MAX_DISCOVERED,80 (env: DISCOVERY_MAX_DISCOVERED),"[Backend only — no GUI control] Maximum total discovered URLs. Adjusted by run profile: thorough=300, standard=80, fast=60. Hard cap on total URLs found via search."
